RecordID,Rank,RoadNo,RT_Label,County,FunctionalClassification,DOTLatitude,DOTLongitude,RFMP,RFLatitude,RFLongitude,LSMP,LSLatitude,LSLongitude
440,25,0205,KY-205,BREATHITT,Minor Collector,37.57670413023870,-83.40280161046730,1.08 & 1.97,37.57670413023870,-83.40280161046730,1.04,37.57608856942210,-83.40264537815660
2,26,0089,KY-89,ESTILL,Major Collector,37.80329299289860,-84.04840439656840,,N/A,N/A,20.50,37.80329299289860,-84.04840439656840
997,27,0007,KY-7,PERRY,Major Collector,37.13458481609580,-83.07126999475290,12.38,37.13464361522740,-83.07123126808510,12.38,37.13458481609580,-83.07126999475290
10,28,0052,KY-52,LEE,Major Collector,37.56938016439200,-83.70361150587150,19.50,37.57825411306060,-83.61384694552810,12.80,37.56938016439200,-83.70361150587150
687,29,0007,KY-7,PERRY,Major Collector,37.13458481609580,-83.07126999475290,11.75,37.13130752077020,-83.08008484397400,12.38,37.13458481609580,-83.07126999475290
268,30,0030,KY-30,BREATHITT,Major Collector,37.58413805506820,-83.21969615963460,,N/A,N/A,30.48,37.58413805506820,-83.21969615963460
272,31,1812,KY-1812,BREATHITT,Minor Collector,37.59858273805980,-83.35401751668890,8.60,37.59858273805980,-83.35401751668890,4.20-4.31 & 4.84-5.00,37.56429964549180,-83.36687002939350
129,32,1067,KY-1067,PERRY,Minor Collector,37.34265934583630,-83.24914813413680,0.56,37.34265934583630,-83.24914813413680,0.12,37.33932544658000,-83.25581018502440
1112,33,0011,KY-11,POWELL,Minor Arterial,37.79351790947950,-83.70271392958880,3.25,37.79351790947950,-83.70271392958880,,N/A,N/A
1122,34,0011,KY-11,WOLFE,Minor Arterial,37.73699096118320,-83.65748594819530,2.90,37.73699096118320,-83.65748594819530,,N/A,N/A
820,35,0205,KY-205,BREATHITT,Minor Collector,37.59615913824400,-83.42028435618460,3.40 & 3.80,37.59615913824400,-83.42028435618460,,N/A,N/A
1020,36,0015,KY-15,PERRY,Principal Arterial - Other,37.21502464014780,-83.06486083843040,0.58,37.21502464014780,-83.06486083843040,,N/A,N/A
746,37,0451,KY-451,PERRY,Minor Collector,37.33584852354670,-83.35698016007480,,N/A,N/A,19.37,37.33584852354670,-83.35698016007480
698,38,2022,KY-2022,PERRY,Local,37.33435288910300,-83.48742954250470,,N/A,N/A,6.90,37.33435288910300,-83.48742954250470
1128,39,0011,KY-11,WOLFE,Minor Arterial,37.75667448852660,-83.66623222417610,4.50,37.75667448852660,-83.66623222417610,,N/A,N/A
122,40,1571,KY-1571,ESTILL,Major Collector,37.68260124860440,-83.92743969071450,,N/A,N/A,1.30,37.68260124860440,-83.92743969071450
1125,41,0437,KY-437,MORGAN,Minor Collector,37.92459059087660,-83.05506703366270,,N/A,N/A,8.73 & 9.57,37.92459059087660,-83.05506703366270
1114,42,0077,KY-77,MENIFEE,Major Collector,37.84694143759000,-83.64393862724570,,N/A,N/A,1.80 & 1.07 & 1.39,37.84694143759000,-83.64393862724570
571,43,0028,KY-28,PERRY,Major Collector,37.34291117468370,-83.44331905424270,3.69,37.34291117468370,-83.44331905424270,5.43,37.35067811430360,-83.42307364383400
335,44,0011,KY-11,POWELL,Minor Arterial,37.86813415901720,-83.93272055740830,21.30,37.86813415901720,-83.93272055740830,21.30,37.86813415901720,-83.93272055740830
579,45,0451,KY-451,PERRY,Major Collector,37.23881897909320,-83.17445243453180,1.40,37.23881897909320,-83.17445243453180,,N/A,N/A
90,46,1812,KY-1812,BREATHITT,Minor Collector,37.57666511308470,-83.35820226948120,,N/A,N/A,5.51,37.57666511308470,-83.35820226948120
525,47,0030,KY-30,MAGOFFIN,Major Collector,37.65925944797320,-83.14048901076440,0.20,37.63631645267060,-83.16467252064600,2.86,37.65925944797320,-83.14048901076440
1048,48,0451,KY-451,PERRY,Minor Collector,37.24439189351020,-83.20007444091770,,N/A,N/A,3.87,37.24439189351020,-83.20007444091770
572,49,1110,KY-1110,BREATHITT,Major Collector,37.40399369292420,-83.38483429339710,5.56,37.40198681319110,-83.38376011877420,5.86,37.40399369292420,-83.38483429339710
979,50,2024,KY-2024,OWSLEY,Minor Collector,37.37270388703180,-83.63271031285530,,N/A,N/A,0.90,37.37270388703180,-83.63271031285530
