RecordID,RoadNo,RT_Label,County,FunctionalClassification,DOTLatitude,DOTLongitude,RFMP,RFLatitude,RFLongitude,LSMP,LSLatitude,LSLongitude,Rank,Mid MP,RT_UNIQUE,DetourLength
257,541,KY-541,BREATHITT,Minor Collector,37.60231279,-83.48146775,4.91,37.60201762507240,-83.48121490458100,4.88,37.60231278696820,-83.48146774871100,6,4.5,013-KY-0541  -000,19.84157566
746,451,KY-451,PERRY,Minor Collector,37.33584852,-83.35698016,,N/A,N/A,19.37,37.33584852354670,-83.35698016007480,26,19.5,097-KY-0451  -000,25.63414037
927,52,KY-52,LEE,Major Collector,37.57048755,-83.70084289,13.10,37.57048754709270,-83.70084289126930,13.10,37.57048754709270,-83.70084289126930,2,13.1,065-KY-0052  -000,25.52549749
1109,9000,KY-9000,POWELL,Principal Arterial - Other Freeways and Expressway,37.80830152,-83.71123226,31.84,37.80830151961700,-83.71123226401750,,N/A,N/A,18,31.5,099-KY-9000  -000,19.38879684
965,89,KY-89,ESTILL,Major Collector,37.60807215,-83.96680644,,N/A,N/A,2.50,37.60807215380070,-83.96680644017050,7,2.5,033-KY-0089  -000,46.05508348
440,205,KY-205,BREATHITT,Minor Collector,37.57670413,-83.40280161,1.08 & 1.97,37.57670413023870,-83.40280161046730,1.04,37.57608856942210,-83.40264537815660,43,2.5,013-KY-0205  -000,5.683899467
129,1067,KY-1067,PERRY,Minor Collector,37.34265935,-83.24914813,0.56,37.34265934583630,-83.24914813413680,0.12,37.33932544658000,-83.25581018502440,24,1.155,097-KY-1067  -000,13.80219576
687,7,KY-7,PERRY,Major Collector,37.13458482,-83.07126999,11.75,37.13130752077020,-83.08008484397400,12.38,37.13458481609580,-83.07126999475290,8,6.785,097-KY-0007  -000,13.00977665
1125,437,KY-437,MORGAN,Minor Collector,37.92459059,-83.05506703,,N/A,N/A,8.73 & 9.57,37.92459059087660,-83.05506703366270,44,8.55,088-KY-0437  -000,18.2323457
1131,1110,KY-1110,BREATHITT,Major Collector,37.47863924,-83.37969772,12.46,37.47863923871030,-83.37969771990620,12.46,37.47863923871030,-83.37969771990620,4,12,013-KY-1110  -000,33.92744921
979,2024,KY-2024,OWSLEY,Minor Collector,37.37270389,-83.63271031,,N/A,N/A,0.90,37.37270388703180,-83.63271031285530,17,0.5,095-KY-2024  -000,Unsolved Detour on State Routes
571,28,KY-28,PERRY,Major Collector,37.34291117,-83.44331905,3.69,37.34291117468370,-83.44331905424270,5.43,37.35067811430360,-83.42307364383400,13,4.506,097-KY-0028  -000,20.92592259
761,699,KY-699,PERRY,Major Collector,37.07568752,-83.10994026,7.85,37.08551314215320,-83.10614261789600,6.96,37.07568752384730,-83.10994025798930,5,7.5,097-KY-0699  -000,38.30212546
820,205,KY-205,BREATHITT,Minor Collector,37.59615914,-83.42028436,3.40 & 3.80,37.59615913824400,-83.42028435618460,,N/A,N/A,33,4.782,013-KY-0205  -000,5.08967956
