Road #,County,Project Type (REAL),MP,Tab Code,PDS,DS,Field Score,Detour Length (mi),DL-ES,ADT(max),ADT-ES,Exposure Score (MAX%),Risk Index,Rank,Project Type,Latitude,Longitude,Functional Classification
52,LEE,LANDSLIDE,12.8,52_LEE_12.80,9,18,222,25.53,81,2117,27,66.7,148,53,ROCKFALL & LANDSLIDE,37.56938016,-83.70361151,Major Collector
1571,ESTILL,LANDSLIDE,1.3,1571_EST_1.30,12,14,642,13.66,27,1287,9,22.2,143,54,LANDSLIDE,37.68260125,-83.92743969,Major Collector
1812,BREATHITT,LANDSLIDE,3.85,1812_BRE_3.85,8,20,636,14.16,27,1483,9,22.2,141,55,ROCKFALL & LANDSLIDE,37.55927638,-83.36730078,Major Collector
1110,BREATHITT,LANDSLIDE,5.86,1110_BRE_5.86,11,14,270,24.03,81,379,3,51.9,140,56,ROCKFALL & LANDSLIDE,37.40399369,-83.38483429,Major Collector
28,OWSLEY,ROCKFALL,2.82 & 1.90,28_OWS_1.90-2.82,12,17,624,8.01,27,869,9,22.2,139,57,ROCKFALL,37.44839714,-83.64235272,Major Collector
30,BREATHITT,LANDSLIDE,30.48,30_BRE_30.48,8,20,264,57.66,81,204,3,51.9,137,58,LANDSLIDE,37.58413806,-83.21969616,Major Collector
1067,PERRY,LANDSLIDE,0.12,1067_PER_0.12,8,18,588,13.33,27,555,9,22.2,131,59,ROCKFALL & LANDSLIDE,37.33932545,-83.25581019,Minor Collector
205,BREATHITT,ROCKFALL,3.4,205_BRE_3.40-3.80,12,17,588,11.42,27,526,9,22.2,131,60,ROCKFALL,37.59616341,-83.42028302,Major Collector
205,BREATHITT,ROCKFALL,3.40 & 3.80,205_BRE_3.40-3.80,10,17,588,11.42,27,526,9,22.2,131,61,ROCKFALL,37.59615914,-83.42028436,Minor Collector
89,ESTILL,LANDSLIDE,20.5,89_EST_20.50,17,12,234,22,81,926,9,55.6,130,62,LANDSLIDE,37.80329299,-84.0484044,Major Collector
