RecordID,Rank,RT_Type,RoadNo,RT_Label,County,Functional Classification,DOT Latitude,DOT Longitude,RF MP,RF Latitude,RF Longitude,LS MP,LS Latitude,LS Longitude
1048,50,KY,0451,KY-451,PERRY,Minor Collector,37.24439189351020,-83.20007444091770,,N/A,N/A,3.87,37.24439189351020,-83.20007444091770
572,51,KY,1110,KY-1110,BREATHITT,Major Collector,37.40399369292420,-83.38483429339710,5.56,37.40198681319110,-83.38376011877420,5.86,37.40399369292420,-83.38483429339710
979,52,KY,2024,KY-2024,OWSLEY,Minor Collector,37.37270388703180,-83.63271031285530,,N/A,N/A,0.90,37.37270388703180,-83.63271031285530
636,53,KY,1471,KY-1471,MAGOFFIN,Local,37.65128688884720,-83.01336141592690,,N/A,N/A,3.78,37.65128688884720,-83.01336141592690
703,54,KY,0847,KY-847,OWSLEY,Minor Collector,37.45939327265750,-83.72141146460330,6.02,37.46439560293290,-83.72078943787690,5.67,37.45939327265750,-83.72141146460330
207,55,KY,0267,KY-267,PERRY,Minor Collector,37.38360213372150,-83.21098117956870,,N/A,N/A,11.25,37.38360213372150,-83.21098117956870
865,56,KY,0451,KY-451,PERRY,Major Collector,37.23904084300820,-83.21440579706500,,N/A,N/A,4.99,37.23904084300820,-83.21440579706500
592,57,KY,1095,KY-1095,PERRY,Minor Collector,37.21125659648990,-83.05569316990460,2.12,37.21125659648990,-83.05569316990460,,N/A,N/A
481,58,KY,0699,KY-699,PERRY,Major Collector,37.04286643775240,-83.16873695924120,,N/A,N/A,1.35,37.04286643775240,-83.16873695924120
1123,59,KY,0030,KY-30,OWSLEY,Major Collector,37.46589611525410,-83.54592082968050,,N/A,N/A,0.20,37.46589611525410,-83.54592082968050
955,60,KY,1088,KY-1088,PERRY,Minor Collector,37.28113653334560,-83.13758367283810,,37.28113653334560,-83.13758367283810,,N/A,N/A
1121,61,US,0460,US-460,MORGAN,Minor Arterial,37.91004473520380,-83.26837868750380,16.30 & 16.50,37.91004473520380,-83.26837868750380,,N/A,N/A
1033,62,KY,0007,KY-7,MAGOFFIN,Major Collector,37.73015571398640,-83.05608358730930,,N/A,N/A,23.43,37.73015571398640,-83.05608358730930
599,63,KY,0577,KY-577,OWSLEY,Minor Collector,37.34391188380430,-83.70943104892900,0.85,37.34391188380430,-83.70943104892900,0.85,37.34391188380430,-83.70943104892900
1120,64,KY,9000,KY-9000,POWELL,Principal Arterial - Other Freeways and Expressway,37.83036884040680,-83.88001241524360,,N/A,N/A,20.90,37.83036884040680,-83.88001241524360
356,65,KY,0476,KY-476,PERRY,Major Collector,37.27810466769840,-83.19391055501980,1.55,37.27810466769840,-83.19391055501980,,N/A,N/A
1055,66,KY,0011,KY-11,POWELL,Major Collector,37.83756581756180,-83.88014248820030,,37.83756581756180,-83.88014248820030,,N/A,N/A
729,67,KY,2021,KY-2021,PERRY,Local,37.28269428937670,-83.28649102762660,3.89,37.28269428937670,-83.28649102762660,3.89,37.28269428937670,-83.28649102762660
368,68,KY,1571,KY-1571,ESTILL,Major Collector,37.66906393890940,-83.86454596771380,,N/A,N/A,5.13,37.66906393890940,-83.86454596771380
849,69,US,0460,US-460,MAGOFFIN,Minor Arterial,37.79688549764060,-83.14962790260880,,N/A,N/A,3.41,37.79688549764060,-83.14962790260880
58,70,KY,0451,KY-451,PERRY,Minor Collector,37.28173825629680,-83.32485175590360,13.25,37.28243764136420,-83.32665097363150,13.13,37.28173825629680,-83.32485175590360
283,71,KY,0451,KY-451,PERRY,Major Collector,37.24467942856160,-83.22210911622600,,N/A,N/A,5.75,37.24467942856160,-83.22210911622600
779,72,KY,0011,KY-11,POWELL,Minor Arterial,37.77610265955450,-83.67690675995190,0.95,37.77610265955450,-83.67690675995190,,N/A,N/A
797,73,KY,0028,KY-28,PERRY,Major Collector,37.35169968578690,-83.31929466189170,15.16,37.35169968578690,-83.31929466189170,15.67,37.34979887953860,-83.31070539963380
616,74,KY,0397,KY-397,BREATHITT,Minor Collector,37.48353017945090,-83.37539628648170,0.12,37.48353017945090,-83.37539628648170,,N/A,N/A
940,75,KY,0007,KY-7,PERRY,Major Collector,37.17636350811730,-83.10827980440950,,N/A,N/A,6.32,37.17636350811730,-83.10827980440950
549,76,KY,0451,KY-451,PERRY,Major Collector,37.25101631346240,-83.23964346135660,6.83,37.25101631346240,-83.23964346135660,,N/A,N/A
